dataset,q,prevalence,arm,calibration_size,fdr_mean,fdr_ci95,power_mean,power_ci95,draws_over_q,seeds_over_q
cicids2017,0.1,0.001,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.1,0.001,Storey-BH,12000,0.18940672938172937,0.1833445471477986,0.01935647421850647,0.024049936576617345,0.72,0.8
cicids2017,0.1,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.1,0.001,e-BH,12000,0.08659999999999998,0.14762590674676768,0.004226649911795994,0.006650786500845194,0.4,0.4
cicids2017,0.2,0.01,marginal BH,12000,0.16472996361385298,0.03014524437358082,0.7238937081833612,0.2636759642061315,0.04,0.0
cicids2017,0.2,0.01,PACT conditional L=1,12000,0.13377952276535324,0.027294995434538744,0.5579908388405699,0.3802689870665726,0.0,0.0
cicids2017,0.2,0.01,PACT conditional L=5,12000,0.11640874294362775,0.03603429154399796,0.41304210141471653,0.4285594856665907,0.0,0.0
cicids2017,0.2,0.01,PACT conditional L=100 (shipped),12000,0.07207526050565717,0.05201025145302899,0.22770657876469733,0.3503882817521209,0.0,0.0
cicids2017,0.2,0.01,Storey-BH,12000,0.16566923068395295,0.030122155082747376,0.7258146402871933,0.2614802017978466,0.04,0.0
cicids2017,0.2,0.01,BY,12000,0.0025427489177489173,0.004331776497713895,0.0009939924009307942,0.002063678700878509,0.0,0.0
cicids2017,0.2,0.01,e-BH,12000,0.053018196724628285,0.09291926893207936,0.019591408318312624,0.026889541870306642,0.0,0.0
cicids2017,0.2,0.001,marginal BH,12000,0.46198783994828424,0.2839972095112596,0.16277728754960147,0.17357543569841985,0.84,0.8
cicids2017,0.2,0.001,PACT conditional L=1,12000,0.1995437575754139,0.18279688099812658,0.022824364392143713,0.029109883146241026,0.44,0.6
cicids2017,0.2,0.001,PACT conditional L=5,12000,0.029711111111111115,0.05759248334082536,0.0030999591810666103,0.005313871890985531,0.0,0.0
cicids2017,0.2,0.001,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.2,0.001,Storey-BH,12000,0.46402232270690497,0.2786130490864998,0.16277728754960147,0.17357543569841985,0.84,0.8
cicids2017,0.2,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017,0.2,0.001,e-BH,12000,0.2355563492063492,0.4028784086173807,0.021557313984290886,0.027972863467653653,0.4,0.4
toniot,0.1,0.01,marginal BH,12000,0.09865,0.06595178973021487,0.00030938401035782593,0.0004446776314814005,0.24,0.4
toniot,0.1,0.01,PACT conditional L=1,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.01,PACT conditional L=5,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.01,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.01,Storey-BH,12000,0.09865,0.06595178973021487,0.00030938401035782593,0.0004446776314814005,0.24,0.4
toniot,0.1,0.01,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.01,e-BH,12000,0.09865,0.06595178973021487,0.00030938401035782593,0.0004446776314814005,0.24,0.4
toniot,0.1,0.001,marginal BH,12000,0.0655,0.061239341692159145,0.0004311239485152529,0.0004639573869158672,0.16,0.2
toniot,0.1,0.001,PACT conditional L=1,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.001,PACT conditional L=5,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.001,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.001,Storey-BH,12000,0.0655,0.061239341692159145,0.0004311239485152529,0.0004639573869158672,0.16,0.2
toniot,0.1,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.1,0.001,e-BH,12000,0.0655,0.061239341692159145,0.0004311239485152529,0.0004639573869158672,0.16,0.2
toniot,0.2,0.01,marginal BH,12000,0.49805903487868824,0.22646131337559838,0.0028257794418404857,0.0022893827262266764,0.84,1.0
toniot,0.2,0.01,PACT conditional L=1,12000,0.10036428571428573,0.06259947055568253,0.0003189993949732106,0.00043241748724495775,0.2,0.0
toniot,0.2,0.01,PACT conditional L=5,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.2,0.01,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.2,0.01,Storey-BH,12000,0.5004540963897681,0.22895832780957914,0.00291667120399495,0.002258570797517939,0.84,1.0
toniot,0.2,0.01,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
toniot,0.2,0.01,e-BH,12000,0.4429352647352647,0.261399176763237,0.0017933612186129503,0.002503626966129474,0.68,0.8
toniot,0.2,0.001,marginal BH,12000,0.6044778998778999,0.2951838175951406,0.00305801235572494,0.00319897474484123,0.8,1.0
toniot,0.2,0.001,PACT conditional L=1,12000,0.0675,0.058569173657041486,0.0004311239485152529,0.0004639573869158672,0.12,0.0
toniot,0.2,0.001,PACT conditional L=5,12000,0.0,0.0,0.0,0.0,0.0,0.0
