rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,baselines,renoir_dml,unknown_auroc,1,0.8836630036630037,0.0,0.8836630036630037,0.8836630036630037
rq1,baselines,renoir_dml,unknown_f1,1,0.6075949367088608,0.0,0.6075949367088608,0.6075949367088608
rq1,baselines,renoir_dml,unknown_precision,1,0.7058823529411765,0.0,0.7058823529411765,0.7058823529411765
rq1,baselines,renoir_dml,unknown_recall,1,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333
rq1,ours,closed_backbone,delta_f1,3,0.0,0.0,0.0,0.0
rq1,ours,closed_backbone,known_accuracy,3,0.950470035252644,0.05429374512519858,0.8155968954766489,1.085343175028639
rq1,ours,closed_backbone,known_macro_f1,3,0.8659385634752828,0.02857637635784549,0.794950909300468,0.9369262176500975
rq1,ours,closed_backbone,known_weighted_f1,3,0.9479759375387635,0.05585457745862288,0.8092254753016379,1.0867263997758891
rq1,ours,hedl,aupr_out,4,0.8301509465380104,0.21067542310253828,0.49491933560457446,1.1653825574714463
rq1,ours,hedl,delta_f1,3,-0.004215149221168908,0.03253465617267173,-0.08503571555753185,0.07660541711519404
rq1,ours,hedl,far,4,0.015444661096835009,0.005837817442610195,0.006155390821255588,0.02473393137241443
rq1,ours,hedl,fpr95,4,0.395203768029855,0.20297745474352244,0.07222134257759166,0.7181861934821183
rq1,ours,hedl,frr,4,0.5558733333333334,0.11681476847271209,0.36999496916902386,0.741751697497643
rq1,ours,hedl,known_accuracy,4,0.8287515657080874,0.2843777432858531,0.3762431164955175,1.2812600149206572
rq1,ours,hedl,known_macro_f1,4,0.7281922066537967,0.26708626164435934,0.30319836337265804,1.1531860499349353
rq1,ours,hedl,known_weighted_f1,4,0.8094036280034267,0.320197434324397,0.29989805708983786,1.3189091989170154
rq1,ours,hedl,open_world_macro_f1,4,0.6547981573502073,0.2103624867798135,0.32006449793879377,0.9895318167616208
rq1,ours,hedl,oscr,4,0.7619672348913653,0.2670950057194861,0.33695947783543656,1.186974991947294
rq1,ours,hedl,scorer_density_reference_size,4,3197.0,1798.0,335.9807715494476,6058.019228450552
rq1,ours,hedl,scorer_density_selection_margin,4,0.175,0.05,0.0954388423678934,0.25456115763210657
rq1,ours,hedl,scorer_proxy_density_auroc,4,0.843631197508049,0.06702393006869604,0.7369811682016728,0.9502812268144253
rq1,ours,hedl,scorer_proxy_evidential_auroc,4,0.8640844928546905,0.24309745580757547,0.477262192825279,1.250906792884102
