Label1,N1,Acc1,Label2,Acc2,N2,Label3,N3,Acc3,Label4,N4,Acc4,Label5,N5,Acc5,Total Acc
DOS_Hulk,228,99.0377498149519,DOS_GoldenEye,100.0,1073,SSHPatator,51,99.9260901699926,Web_BruteForce,0,99.92603550295857,attack_DDOS,0,16.494082840236686,83.07692307692308
DOS_Hulk,525,99.0377498149519,DOS_GoldenEye,100.0,0,SSHPatator,0,99.9260901699926,Web_BruteForce,827,99.92603550295857,attack_portscan,0,99.70414201183432,99.7189349112426
DOS_SlowLoris,534,99.9259807549963,FTPPatator,100.0,0,SSHPatator,450,99.9260901699926,Web_BruteForce,368,100.0,attack_DDOS,0,11.094674556213018,82.18934911242603
DOS_SlowLoris,1081,99.9259807549963,FTPPatator,100.0,0,SSHPatator,3,99.9260901699926,Web_BruteForce,268,100.0,DOS_SlowHttpTest,0,3.4023668639053253,80.6508875739645
DOS_SlowLoris,1068,99.9259807549963,FTPPatator,100.0,0,SSHPatator,0,99.9260901699926,Web_BruteForce,284,100.0,DOS_GoldenEye,0,15.606508875739644,83.09171597633136
DOS_SlowLoris,1348,99.9259807549963,FTPPatator,100.0,0,SSHPatator,0,99.9260901699926,Web_BruteForce,4,100.0,attack_portscan,0,0.14792899408284024,80.0
DOS_SlowLoris,611,99.91796554552911,FTPPatator,100.0,0,SSHPatator,33,100.0,Web_BruteForce,577,100.0,attack_bot,0,39.14823914823915,87.80327868852459
DOS_SlowHttpTest,22,99.25705794947994,DOS_SlowLoris,99.55817378497791,0,DOS_Hulk,653,99.70414201183432,FTPPatator,0,100.0,Web_XSS,0,1.1851851851851851,79.97041420118343
DOS_SlowHttpTest,2512,99.44620253164557,DOS_SlowLoris,99.28853754940712,6,DOS_Hulk,3,99.88132911392405,FTPPatator,6,100.0,SSHPatator,0,0.9101701622477245,79.9129746835443
DOS_SlowHttpTest,93,99.4862573850501,DOS_SlowLoris,99.17758930866101,18,DOS_Hulk,3758,99.89727786337956,FTPPatator,21,100.0,attack_DDOS,0,9.717223650385604,81.66495375128468
DOS_SlowHttpTest,0,99.4862573850501,DOS_SlowLoris,99.17758930866101,3877,DOS_Hulk,13,99.89727786337956,FTPPatator,0,100.0,attack_portscan,0,99.97429305912597,99.7070914696814
DOS_SlowHttpTest,42,99.34372436423298,DOS_SlowLoris,99.17965545529123,2,DOS_Hulk,1177,99.75429975429975,FTPPatator,0,100.0,attack_bot,0,1.1466011466011465,79.8688524590164
attack_DDOS,403,99.70282317979198,attack_portscan,99.85272459499264,1,FTPPatator,0,100.0,Web_XSS,272,100.0,DOS_Hulk,0,54.142011834319526,90.7396449704142
attack_DDOS,0,99.70282317979198,attack_portscan,99.85272459499264,274,FTPPatator,52,100.0,Web_XSS,350,100.0,DOS_SlowLoris,0,0.7396449704142012,80.05917159763314
attack_DDOS,301,99.70282317979198,attack_portscan,99.85272459499264,113,FTPPatator,0,100.0,Web_XSS,262,100.0,attack_bot,0,65.53254437869822,93.01775147928994
attack_DDOS,15,99.70282317979198,attack_portscan,99.85272459499264,4,FTPPatator,0,100.0,Web_XSS,657,100.0,DOS_SlowHttpTest,0,5.029585798816568,80.9171597633136
attack_DDOS,1,99.70282317979198,attack_portscan,99.85272459499264,0,FTPPatator,0,100.0,Web_XSS,675,100.0,Web_BruteForce,0,2.514792899408284,80.41420118343196
attack_DDOS,3219,100.0,DOS_SlowHttpTest,99.76280834914611,232,DOS_Hulk,765,99.66801043395779,DOS_GoldenEye,0,99.85765124555161,attack_portscan,0,99.9762808349146,99.8529411764706
attack_DDOS,13,100.0,DOS_SlowHttpTest,99.7948717948718,0,DOS_Hulk,1,99.64120963608406,DOS_GoldenEye,3884,99.8461143883047,FTPPatator,0,2.28322216521293,80.32307692307693
attack_DDOS,11,100.0,DOS_SlowHttpTest,99.70414201183432,393,DOS_Hulk,920,99.55654101995566,DOS_GoldenEye,27,99.77827050997783,Web_BruteForce,0,84.8260547742413,96.77514792899409
attack_DDOS,1081,100.0,DOS_SlowHttpTest,99.67186218211648,2,DOS_Hulk,120,99.5085995085995,DOS_GoldenEye,18,99.75409836065575,attack_bot,0,53.31695331695332,90.44262295081967
