rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,baselines,efc,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,efc,tpr_at_1_fpr,1,0.08888888888888889,0.0,0.08888888888888889,0.08888888888888889
rq1,baselines,efc,tpr_at_5_fpr,1,0.5777777777777777,0.0,0.5777777777777777,0.5777777777777777
rq1,baselines,efc,unknown_auroc,1,0.659023199023199,0.0,0.659023199023199,0.659023199023199
rq1,baselines,efc,unknown_f1,1,0.12,0.0,0.12,0.12
rq1,baselines,efc,unknown_precision,1,0.6,0.0,0.6,0.6
rq1,baselines,efc,unknown_recall,1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
rq1,baselines,ori,aupr_out,1,0.5732539202020392,0.0,0.5732539202020392,0.5732539202020392
rq1,baselines,ori,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,baselines,ori,delta_f1,1,0.6594157690915113,0.0,0.6594157690915113,0.6594157690915113
rq1,baselines,ori,far,1,0.01098901098901099,0.0,0.01098901098901099,0.01098901098901099
rq1,baselines,ori,fpr95,1,0.11648351648351649,0.0,0.11648351648351649,0.11648351648351649
rq1,baselines,ori,frr,1,0.9111111111111111,0.0,0.9111111111111111,0.9111111111111111
rq1,baselines,ori,known_accuracy,1,0.9032967032967033,0.0,0.9032967032967033,0.9032967032967033
rq1,baselines,ori,known_macro_f1,1,0.8980404656533146,0.0,0.8980404656533146,0.8980404656533146
rq1,baselines,ori,known_weighted_f1,1,0.8987785510288426,0.0,0.8987785510288426,0.8987785510288426
rq1,baselines,ori,open_world_macro_f1,1,0.8068496333711753,0.0,0.8068496333711753,0.8068496333711753
rq1,baselines,ori,oscr,1,0.8762637362637362,0.0,0.8762637362637362,0.8762637362637362
rq1,baselines,ori,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,ori,tpr_at_1_fpr,1,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446
rq1,baselines,ori,tpr_at_5_fpr,1,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
rq1,baselines,ori,unknown_auroc,1,0.9586813186813187,0.0,0.9586813186813187,0.9586813186813187
rq1,baselines,ori,unknown_f1,1,0.14814814814814814,0.0,0.14814814814814814,0.14814814814814814
rq1,baselines,ori,unknown_precision,1,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444
rq1,baselines,ori,unknown_recall,1,0.08888888888888889,0.0,0.08888888888888889,0.08888888888888889
rq1,baselines,renoir_dml,aupr_out,1,0.5844689119791906,0.0,0.5844689119791906,0.5844689119791906
rq1,baselines,renoir_dml,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,baselines,renoir_dml,delta_f1,1,0.3898217937658981,0.0,0.3898217937658981,0.3898217937658981
rq1,baselines,renoir_dml,far,1,0.01978021978021978,0.0,0.01978021978021978,0.01978021978021978
rq1,baselines,renoir_dml,fpr95,1,0.5406593406593406,0.0,0.5406593406593406,0.5406593406593406
rq1,baselines,renoir_dml,frr,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
rq1,baselines,renoir_dml,known_accuracy,1,0.6659340659340659,0.0,0.6659340659340659,0.6659340659340659
rq1,baselines,renoir_dml,known_macro_f1,1,0.6284464903277014,0.0,0.6284464903277014,0.6284464903277014
rq1,baselines,renoir_dml,known_weighted_f1,1,0.6282198885319734,0.0,0.6282198885319734,0.6282198885319734
rq1,baselines,renoir_dml,open_world_macro_f1,1,0.5954004465711142,0.0,0.5954004465711142,0.5954004465711142
rq1,baselines,renoir_dml,oscr,1,0.6049328449328449,0.0,0.6049328449328449,0.6049328449328449
rq1,baselines,renoir_dml,tpr_at_0_1_fpr,1,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446
rq1,baselines,renoir_dml,tpr_at_1_fpr,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
rq1,baselines,renoir_dml,tpr_at_5_fpr,1,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
rq1,baselines,renoir_dml,unknown_auroc,1,0.8814163614163614,0.0,0.8814163614163614,0.8814163614163614
rq1,baselines,renoir_dml,unknown_f1,1,0.43478260869565216,0.0,0.43478260869565216,0.43478260869565216
rq1,baselines,renoir_dml,unknown_precision,1,0.625,0.0,0.625,0.625
rq1,baselines,renoir_dml,unknown_recall,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
rq1,ours,closed_backbone,delta_f1,3,0.0,0.0,0.0,0.0
rq1,ours,closed_backbone,known_accuracy,3,0.950470035252644,0.05429374512519858,0.8155968954766489,1.085343175028639
rq1,ours,closed_backbone,known_macro_f1,3,0.8659385634752828,0.02857637635784549,0.794950909300468,0.9369262176500975
rq1,ours,closed_backbone,known_weighted_f1,3,0.9479759375387635,0.05585457745862288,0.8092254753016379,1.0867263997758891
rq1,ours,hedl,aupr_out,4,0.8498621210826229,0.17174367190104378,0.5765796140339082,1.1231446281313375
rq1,ours,hedl,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,ours,hedl,delta_f1,4,-0.01168576585374672,0.03047801972459996,-0.060183096486213734,0.036811564778720295
rq1,ours,hedl,far,4,0.015444661096835009,0.005837817442610195,0.006155390821255588,0.02473393137241443
rq1,ours,hedl,fpr95,4,0.3924565152826023,0.20252848498226855,0.07018850090928236,0.7147245296559221
