rq,track,condition,protocol,dataset,scenario,seed,method,metric,value
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,tpr_at_5_fpr,0.52296
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,unknown_auroc,0.8800839259694477
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,unknown_f1,0.4430590704277514
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,unknown_precision,0.9697379086733315
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,unknown_recall,0.28712
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,aupr_out,0.31758233907924904
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,closed_reference_macro_f1,0.23862469656180327
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,delta_f1,0.38929464364796873
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,far,0.015384615384615385
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,fpr95,0.567032967032967
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,frr,0.8
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,known_accuracy,0.6659340659340659
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,known_macro_f1,0.627919340209772
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,known_weighted_f1,0.6274292292358109
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,open_world_macro_f1,0.5780633574595636
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,oscr,0.5475457875457875
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,tpr_at_0_1_fpr,0.0
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,tpr_at_1_fpr,0.022222222222222223
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,tpr_at_5_fpr,0.35555555555555557
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,unknown_auroc,0.7776312576312576
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,unknown_f1,0.29508196721311475
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,unknown_precision,0.5625
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,closr,unknown_recall,0.2
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,aupr_out,0.12442909094265367
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,closed_reference_macro_f1,0.23862469656180327
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,delta_f1,-0.21362889558627915
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,far,0.02197802197802198
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,fpr95,0.8725274725274725
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,frr,0.9111111111111111
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,known_accuracy,0.0945054945054945
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,known_macro_f1,0.02499580097552412
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,known_weighted_f1,0.02518013789495281
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,open_world_macro_f1,0.03306791751294973
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,oscr,0.06446886446886446
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,tpr_at_0_1_fpr,0.022222222222222223
rq1,baselines,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,docpp,tpr_at_1_fpr,0.06666666666666667
