case,shots,seed,method,unknown_auroc,fpr95,aupr_out,oscr,open_world_macro_f1
loeo_unsw,"400 luong, lan 0%",13,hedl,0.5915044951923077,0.7888461538461539,0.2449685991161298,0.22702913461538465,0.07156155862777333
loeo_unsw,"400 luong, lan 0%",13,renoir_dml,0.5447253605769231,0.9541025641025641,0.2178006086051508,0.09022345352564103,0.013814071065540142
loeo_unsw,"400 luong, lan 0%",37,cd_zd_srl,0.5401555048076924,0.9935897435897436,0.22922116428092,0.09512875000000001,0.07138915058395623
loeo_unsw,"400 luong, lan 0%",37,closr,0.5547906490384615,0.9042948717948718,0.2346493500205416,0.07744433493589743,0.02522078583348544
loeo_unsw,"400 luong, lan 0%",37,efc,0.5109004086538461,0.9484615384615385,0.20189179858498568,0.047896971153846155,0.016364631674086378
loeo_unsw,"400 luong, lan 0%",37,foss,0.5420558573717948,0.9140384615384616,0.23675650653951166,0.13760393429487178,0.02884321612340772
loeo_unsw,"400 luong, lan 0%",37,hedl,0.5936964663461539,0.8112820512820513,0.2551533308853881,0.20811608173076923,0.03979773480219298
loeo_unsw,"400 luong, lan 0%",37,renoir_dml,0.49932213942307696,0.9587820512820513,0.1984701390747643,0.08691158653846154,0.014669909329717408
loeo_unsw,"400 luong, lan 0%",73,cd_zd_srl,0.5460345993589744,0.9567307692307693,0.23245924176522567,0.102460625,0.0730925824069039
loeo_unsw,"400 luong, lan 0%",73,closr,0.6013527003205128,0.9133974358974359,0.26008059547734375,0.05534298076923076,0.026680730481079176
loeo_unsw,"400 luong, lan 0%",73,efc,0.5105916025641026,0.9483333333333334,0.20188053153852586,0.0477508092948718,0.016364997262368113
loeo_unsw,"400 luong, lan 0%",73,foss,0.5634790064102564,0.9043589743589744,0.24546918216388416,0.1431991987179487,0.028565953733516315
loeo_unsw,"400 luong, lan 0%",73,hedl,0.5745422275641026,0.7916666666666666,0.23139949060221376,0.2159239262820513,0.05735808886559237
loeo_unsw,"400 luong, lan 0%",73,renoir_dml,0.524920016025641,0.8773717948717948,0.20878861618847708,0.08196565705128206,0.014403223055260317
unsw_to_ton,"2000 luong, lan 0%",13,cd_zd_srl,0.6321278692307692,0.8919230769230769,0.422604690435962,0.23291570769230768,0.10181058187320753
unsw_to_ton,"2000 luong, lan 0%",13,closr,0.6316621692307692,0.8506153846153847,0.3357273893592302,0.1989573769230769,0.03785927491256572
unsw_to_ton,"2000 luong, lan 0%",13,efc,0.5666975461538462,0.961076923076923,0.32226937362627706,0.17138561538461536,0.08274810511881621
unsw_to_ton,"2000 luong, lan 0%",13,foss,0.3788882692307692,0.9120769230769231,0.2233032621965536,0.23350857692307692,0.13017430108516204
unsw_to_ton,"2000 luong, lan 0%",13,hedl,0.43082213846153844,0.8894615384615384,0.22893838749761394,0.2052501923076923,0.13079449947394026
unsw_to_ton,"2000 luong, lan 0%",13,renoir_dml,0.32544115384615385,0.989,0.20491810122966403,0.12045079230769232,0.053898625635935636
unsw_to_ton,"2000 luong, lan 0%",37,cd_zd_srl,0.7280494,0.8853076923076924,0.5349914349593552,0.2616249461538461,0.118748008215698
unsw_to_ton,"2000 luong, lan 0%",37,closr,0.5247737076923077,0.929076923076923,0.26658417658815337,0.20772496153846154,0.10909212495351847
unsw_to_ton,"2000 luong, lan 0%",37,efc,0.6145648538461538,0.9653846153846154,0.47381193748765216,0.17170965384615386,0.09617659464059158
unsw_to_ton,"2000 luong, lan 0%",37,foss,0.4108356230769231,0.9312307692307692,0.2451434319903893,0.2716936692307692,0.19760954765043032
unsw_to_ton,"2000 luong, lan 0%",37,hedl,0.3466194384615385,0.8978461538461538,0.20331227704795396,0.20016000769230768,0.12316553485824216
unsw_to_ton,"2000 luong, lan 0%",37,renoir_dml,0.31378586923076923,0.9979230769230769,0.20298364215254427,0.14967225384615385,0.13613383090491266
unsw_to_ton,"2000 luong, lan 0%",73,cd_zd_srl,0.7056547692307692,0.8730769230769231,0.5332903151042426,0.2247529,0.11270007244904173
unsw_to_ton,"2000 luong, lan 0%",73,closr,0.5222948461538461,0.8720769230769231,0.26103711165634425,0.20773433846153844,0.0652974761956763
unsw_to_ton,"2000 luong, lan 0%",73,efc,0.6153980538461538,0.9659230769230769,0.47636182219430123,0.17157036923076924,0.09553706821513652
unsw_to_ton,"2000 luong, lan 0%",73,foss,0.35724341538461535,0.9162307692307692,0.22504483780871246,0.23148455384615385,0.2177960094510268
