case,shots,seed,method,unknown_auroc,fpr95,aupr_out,oscr,open_world_macro_f1
unsw_to_ton,10,13,cd_zd_srl,0.4500310374832664,0.8414993306559572,0.22346157559497012,0.11905481258366798,0.12294255522611564
unsw_to_ton,10,13,closr,0.5222868005354753,0.9872824631860776,0.2542759210362455,0.23729987282463186,0.1458585554391157
unsw_to_ton,10,13,efc,0.66968172021419,0.9812583668005355,0.5748348764992249,0.0022477576974564927,0.07327979038505356
unsw_to_ton,10,13,foss,0.45219770414993304,0.739558232931727,0.21995226267742063,0.4356653882195448,0.412717873870198
unsw_to_ton,10,13,hedl,0.7473885542168676,0.7389558232931727,0.4735859988684189,0.7107879183400267,0.3640264596904681
unsw_to_ton,10,13,renoir_dml,0.36379929718875503,0.9992637215528781,0.20594566578702955,0.1912993172690763,0.17392847880024015
unsw_to_ton,10,37,cd_zd_srl,0.40918934404283813,0.9147925033467202,0.21417432879127787,0.09101974564926371,0.1137352014588743
unsw_to_ton,10,37,closr,0.5762095448460509,0.9078982597054887,0.3208514927670031,0.19373365461847386,0.1369415006889354
unsw_to_ton,10,37,efc,0.6696409772423025,0.9812583668005355,0.5746643975573429,0.002247838018741633,0.08129701531763388
unsw_to_ton,10,37,foss,0.3535565394912985,0.8814591700133869,0.19648482024813335,0.336568266398929,0.402872703202962
unsw_to_ton,10,37,hedl,0.7972913186077644,0.7590361445783133,0.5706774477793104,0.6897912851405622,0.2920012689578915
unsw_to_ton,10,37,renoir_dml,0.37810093708166,0.9977911646586345,0.22012998508137477,0.1487027175368139,0.12441568700512308
unsw_to_ton,10,73,cd_zd_srl,0.36330809906291833,1.0,0.20065159297966478,0.09119595716198127,0.10734078968534594
unsw_to_ton,10,73,closr,0.5853847322623829,0.9056894243641231,0.312518495157264,0.2514410575635877,0.1564964639045328
unsw_to_ton,10,73,efc,0.6696451137884873,0.9813253012048193,0.5744385922209231,0.0021966465863453816,0.08125212137972669
unsw_to_ton,10,73,foss,0.3693786010709505,0.8971887550200803,0.19629039987598268,0.35008334002677377,0.3316701026861129
unsw_to_ton,10,73,hedl,0.7981397925033467,0.7872824631860776,0.5358145939147417,0.7300561579651941,0.487148518326179
unsw_to_ton,10,73,renoir_dml,0.30804758366800533,0.9989290495314592,0.19621366313125382,0.10776242302543507,0.11679869764660882
unsw_to_ton,200,13,cd_zd_srl,0.6879613333333333,0.8905797101449275,0.4091566753338937,0.6493747753623188,0.31145129629522084
unsw_to_ton,200,13,closr,0.827413768115942,0.9981159420289855,0.7101807598398235,0.7157825652173913,0.3944406704196699
unsw_to_ton,200,13,efc,0.6925377826086957,0.9022463768115943,0.5978458835628928,0.24918607971014492,0.2161939533615674
unsw_to_ton,200,13,foss,0.5285444275362319,0.8296376811594203,0.3032615388759588,0.5221984492753623,0.37004501245365745
unsw_to_ton,200,13,hedl,0.893691731884058,0.565,0.7409822499627924,0.8720137898550725,0.3823542952841524
unsw_to_ton,200,13,renoir_dml,0.357810463768116,0.9989130434782608,0.21320234323115098,0.26351208695652173,0.29137752132823197
unsw_to_ton,200,37,cd_zd_srl,0.620310231884058,0.7932608695652174,0.37848510624394255,0.5911692753623188,0.2861988854635516
unsw_to_ton,200,37,closr,0.8377721159420289,0.7186956521739131,0.7071654654271585,0.7928527898550723,0.29769803616654134
unsw_to_ton,200,37,efc,0.6924166231884058,0.9016666666666666,0.6003608658356433,0.25401546376811596,0.21505630128198705
unsw_to_ton,200,37,foss,0.6075811014492754,0.7768840579710145,0.3506619514702652,0.6001885144927536,0.4222828093853608
